stratum,domain,target,method,records,DOI_groups,R2,MAE,RMSE,bias,inferential_status
All,Mixed Pb-Sn,Jsc,Convex mixture,98,25,-0.44112101718404206,4.962298045034232,5.95001163766712,-3.817893080615322,supported
All,Mixed Pb-Sn,FF,Convex mixture,98,25,-0.48880954568986335,7.345665018311634,8.863379746181293,-5.072892577502789,supported
All,Mixed Pb-Sn,PCE,Development-selected policy,98,25,-0.07542819340883433,3.838381877222493,4.633906634248185,-2.321479025078958,supported
All,Mixed Pb-Sn,Voc,Development-selected policy,98,25,0.00446583128171929,0.10253927390310506,0.14596124073301223,0.030099723356338197,supported
All,Mixed Pb-Sn,Jsc,Development-selected policy,98,25,-0.44112101718404206,4.962298045034232,5.95001163766712,-3.817893080615322,supported
All,Mixed Pb-Sn,FF,Development-selected policy,98,25,-0.48880954568986335,7.345665018311634,8.863379746181293,-5.072892577502789,supported
Formula seen historically,Sn-only,PCE,Frozen global,116,23,0.17240628830655824,2.0210945586644162,2.410709888460199,-0.9146224958656901,supported
Formula seen historically,Sn-only,Voc,Frozen global,116,23,-0.18883011430650165,0.12292927871634352,0.15303101218034754,-0.046333158150262614,supported
Formula seen historically,Sn-only,Jsc,Frozen global,116,23,0.16461016977230247,4.169706064658579,5.364632307477888,-1.5390104432538079,supported
Formula seen historically,Sn-only,FF,Frozen global,116,23,0.4599958892652575,7.869368921153975,9.910851830457771,-1.101309593300077,supported
Formula seen historically,Sn-only,PCE,Subgroup calibrator,116,23,0.17240628830655824,2.0210945586644162,2.410709888460199,-0.9146224958656901,supported
Formula seen historically,Sn-only,Voc,Subgroup calibrator,116,23,-0.18883011430650165,0.12292927871634352,0.15303101218034754,-0.046333158150262614,supported
Formula seen historically,Sn-only,Jsc,Subgroup calibrator,116,23,0.16461016977230247,4.169706064658579,5.364632307477888,-1.5390104432538079,supported
Formula seen historically,Sn-only,FF,Subgroup calibrator,116,23,0.4599958892652575,7.869368921153975,9.910851830457771,-1.101309593300077,supported
Formula seen historically,Sn-only,PCE,Domain expert,116,23,-0.029556575275258457,2.3615916497103426,2.688818369865155,-0.9814896921068541,supported
Formula seen historically,Sn-only,Voc,Domain expert,116,23,-0.19496435884764263,0.1287795877694706,0.15342531655409358,-0.04608687761500353,supported
Formula seen historically,Sn-only,Jsc,Domain expert,116,23,-0.02123917201992498,4.893079094442586,5.931425789642085,-1.9112984259138341,supported
Formula seen historically,Sn-only,FF,Domain expert,116,23,0.3474659808246009,8.843516434759742,10.894668733397609,-1.2970166117473991,supported
Formula seen historically,Sn-only,PCE,Convex mixture,116,23,0.17240628830655824,2.0210945586644162,2.410709888460199,-0.9146224958656901,supported
Formula seen historically,Sn-only,Voc,Convex mixture,116,23,-0.18883011430650165,0.12292927871634352,0.15303101218034754,-0.046333158150262614,supported
Formula seen historically,Sn-only,Jsc,Convex mixture,116,23,0.16461016977230247,4.169706064658579,5.364632307477888,-1.5390104432538079,supported
Formula seen historically,Sn-only,FF,Convex mixture,116,23,0.4599958892652575,7.869368921153975,9.910851830457771,-1.101309593300077,supported
Formula seen historically,Sn-only,PCE,Development-selected policy,116,23,0.17240628830655824,2.0210945586644162,2.410709888460199,-0.9146224958656901,supported
Formula seen historically,Sn-only,Voc,Development-selected policy,116,23,-0.18883011430650165,0.12292927871634352,0.15303101218034754,-0.046333158150262614,supported
Formula seen historically,Sn-only,Jsc,Development-selected policy,116,23,0.16461016977230247,4.169706064658579,5.364632307477888,-1.5390104432538079,supported
Formula seen historically,Sn-only,FF,Development-selected policy,116,23,0.4599958892652575,7.869368921153975,9.910851830457771,-1.101309593300077,supported
